city,lat,lng,max_temp,humidity,cloudiness,wind speed,country,date
Dondo,-19.6094,34.7431,75.2,100,75,8.05,MZ,1613344088
Rikitea,-23.1203,-134.9692,80.33,76,32,17.05,PF,1613344148
Albany,42.6001,-73.9662,27.0,60,99,5.41,US,1613343893
Saint Paul Harbor,57.79,-152.4072,41.0,87,90,11.5,US,1613344079
Longyearbyen,78.2186,15.6401,17.6,73,75,3.44,SJ,1613344537
Yarmouth,41.7057,-70.2286,36.0,87,90,6.91,US,1613344537
Punta Arenas,-53.15,-70.9167,51.8,62,75,23.02,CL,1613344274
Lebu,-37.6167,-73.65,59.32,80,0,18.59,CL,1613344537
Aborlan,9.4352,118.5492,75.2,88,75,4.61,PH,1613344537
Shingū,33.7333,135.9833,59.0,94,75,6.91,JP,1613344537
Aklavik,68.2191,-135.0107,-2.2,78,100,4.61,CA,1613344538
Gushikawa,26.3544,127.8686,66.2,68,40,17.27,JP,1613344538
Ushuaia,-54.8,-68.3,48.2,71,75,4.61,AR,1613344538
Pokhara,28.2333,83.9833,54.48,45,31,4.81,NP,1613344538
Zhangye,38.9342,100.4517,25.29,87,73,2.37,CN,1613344538
Busselton,-33.65,115.3333,66.99,96,34,7.36,AU,1613344538
São João da Barra,-21.6403,-41.0511,77.11,86,100,15.86,BR,1613344538
Kharovsk,59.9642,40.1912,-9.38,89,83,7.87,RU,1613344539
Nhulunbuy,-12.2333,136.7667,84.2,84,100,8.05,AU,1613344539
Poum,-20.2333,164.0167,80.31,75,80,4.88,NC,1613344539
Pacific Grove,36.6177,-121.9166,57.0,71,90,5.75,US,1613344516
New Norfolk,-42.7826,147.0587,61.0,68,100,1.99,AU,1613344539
Caravelas,-17.7125,-39.2481,76.3,78,99,7.92,BR,1613344539
Hobart,-42.8794,147.3294,61.0,82,75,4.61,AU,1613344536
Bredasdorp,-34.5322,20.0403,62.6,82,37,8.05,ZA,1613344539
Torbay,47.6666,-52.7314,25.0,80,75,10.36,CA,1613344539
Urusha,54.05,122.9,-22.77,83,88,3.38,RU,1613344540
